"","StuNum","avgYearPack","numYearAward","SexCode","MaritalCode","LeadCategoryCode","PrevEdCode","AdmRepName","ProgramCode","CitizenCode","IsHispanic","DDVeteran","cancelFlag.x"
"107","10904",36413.1566666667,3,"M","S","PPC","SOMECOLL","15","2","US","1","0","0"
"108","10123",23346.3333333333,3,"F","S","INTINT","ASSOC","15","2","US","1","0","0"
"109","11643",32276,3,"F","M","INTINT","HS","15","1","US","2","0","0"
"110","12151",23628,3,"F","S","REF","SOMECOLL","07","2","ELNC","2","0","0"
"111","10462",27202.7333333333,3,"M","S","INTINT","SOMECOLL","03","2","US","1","0","0"
"112","11796",19649.395,2,"M","S","INTER","SOMECOLL","03","2","US","1","0","0"
"113","10384",21060.77,3,"F","S","REF","ASSOC","07","2","US","2","0","0"
"114","10892",25451,1,"F","P","REF","SOMECOLL","15","1","ELNC","2","0","0"
"115","11910",11410.9633333333,3,"F","S","INTINT","SOMECOLL","07","1","US","2","0","0"
"116","11927",14783,1,"F","P","RADIO","SOMECOLL","15","2","US","2","0","0"
"117","11071",46465,1,"F","S","INTINT","ASSOC","30","2","US","2","0","0"
"118","10898",22228.8933333333,3,"F","S","INTINT","ASSOC","15","2","ELNC","2","0","0"
"119","10947",23173.16,3,"F","S","REF","SOMECOLL","15","2","US","1","0","0"
"120","10580",29489.0766666667,3,"F","S","REF","ASSOC","15","2","US","1","0","0"
"121","12076",20616.01,3,"F","S","REF","ASSOC","15","2","US","1","0","0"
"122","10900",44105.875,2,"F","S","PPC","BACH","15","2","US","2","0","0"
"123","10054",30644.3333333333,3,"F","S","INTINT","HS","07","2","US","2","0","0"
"124","10950",40717.6666666667,3,"F","S","OUTDOOR","HS","07","2","US","1","0","0"
"125","10197",34239.79,3,"M","S","RADIO","SOMECOLL","15","2","US","2","0","0"
"126","11441",20751.2625,4,"M","S","OUTDOOR","SOMECOLL","15","2","US","2","0","0"
"127","11012",23616,1,"F","M","INTINT","SOMECOLL","15","2","US","2","0","0"
"128","10035",22008.6666666667,3,"F","S","REF","SOMECOLL","15","2","US","2","0","0"
"129","11225",31568.9366666667,3,"F","S","INTINT","SOMECOLL","15","2","US","2","0","0"
"130","11370",25725,2,"M","S","REF","HS","15","2","US","1","0","0"
"131","10726",27476.75,4,"F","S","RADIO","SOMECOLL","15","2","US","1","0","0"
"132","11085",37697.24,2,"M","M","PPC","SOMECOLL","16","2","US","2","0","0"
"133","11662",26042,3,"F","S","INTINT","SOMECOLL","15","2","US","1","0","0"
"134","10768",29415.3,1,"F","S","PPC","SOMECOLL","07","2","US","2","0","0"
"135","11494",29669.6166666667,3,"F","S","INTER","SOMECOLL","14","2","US","2","0","0"
"136","10001",41213.5,2,"F","M","PPC","SOMECOLL","07","2","US","2","0","0"
"137","10168",39867.5,2,"F","S","INTINT","SOMECOLL","15","2","US","2","0","0"
"138","10522",28949,3,"F","S","INTINT","ASSOC","15","2","US","1","0","0"
"139","11442",28333.57,1,"F","D","REF","ASSOC","07","2","ELNC","2","0","0"
"140","11164",26872,2,"F","M","INTINT","SOMECOLL","07","2","US","1","0","0"
"141","11649",36685,2,"F","D","INTINT","BACH","15","2","US","2","0","0"
"142","12211",37574,2,"M","S","REF","SOMECOLL","15","2","US","2","0","0"
"143","11585",40982,2,"M","S","REF","HS","15","2","US","2","0","0"
"144","10809",0,1,"F","S","REF","HS","15","2","US","2","0","0"
"145","10305",10396.85,2,"M","S","INTINT","BACH","15","2","ELNC","1","0","0"
"146","10182",24919.3333333333,3,"F","S","REF","SOMECOLL","15","2","ELNC","2","0","0"
"147","11086",18662.25,4,"F","S","REF","BACH","15","2","US","2","0","0"
"148","10650",21334.1825,4,"F","M","PPC","SOMECOLL","15","2","ELNC","2","0","0"
